Truth,Pred
m,<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
p,<DEL>
a,<DEL>
t,<DEL>
r,<DEL>
o,<DEL>
n,<DEL>
y,<DEL>
m,<DEL>
i,<DEL>
k,<DEL>
e,<DEL>
m,<DEL>
.,<DEL>
 ,<DEL>
B,B
y,<DEL>
l,<DEL>
 , 
t,:
o,<DEL>
 , 
u,w
ž,{
 ,c
š,<DEL>
e,<DEL>
d,d
i,n
v,?
ý,<DEL>
 , 
v,v
o,o
j,j
á,<DEL>
k,k
;, 
 , 
n,F
a,a
 ,<DEL>
t,<DEL>
v,<DEL>
á,<DEL>
ř,<DEL>
i,i
 ,<DEL>
m,m
ě,e
l,l
 , 
n,n
a,a
p,p
s,s
á,á
n,n
o,?
",",<DEL>
 , 
ž,W
e,w
 ,i
c,<DEL>
o,<DEL>
 , 
m,.
l,<DEL>
u,<DEL>
v,<DEL>
í,<DEL>
",",<DEL>
 , 
j,<DEL>
e,<DEL>
 ,<DEL>
s,s
a,a
m,n
á,d
 , 
l,)
e,c
ž,:
.,<DEL>
 , 
Z,;
v,d
a,<DEL>
l,<DEL>
i,<DEL>
 ,<DEL>
h,<DEL>
o,o
 , 
Č,c
e,c
k,l
u,<DEL>
n,n
o,c
v, 
.,-
 , 
P,P
a,a
t,u
r,r
n,<DEL>
ě,<DEL>
 , 
s,S
e,c
 ,f
k,<DEL>
e,e
 ,J
m,<DEL>
n,<DEL>
ě,<DEL>
 ,<DEL>
l,<DEL>
i,<DEL>
c,c
h,h
o,o
t,n
i,i
l,:
",",<DEL>
p,<DEL>
o,<DEL>
z,<DEL>
d,<DEL>
r,<DEL>
a,<DEL>
v,<DEL>
i,<DEL>
l,<DEL>
a,<DEL>
.,<DEL>
 ,<DEL>
D,<DEL>
o,<DEL>
b,<DEL>
r,<DEL>
ý,<DEL>
 ,<DEL>
d,<DEL>
e,<DEL>
n,<DEL>
",",<DEL>
 ,<DEL>
c,<DEL>
h,<DEL>
l,<DEL>
a,<DEL>
p,<DEL>
c,<DEL>
i,<DEL>
",",<DEL>
 ,<DEL>
o,<DEL>
d,<DEL>
p,<DEL>
o,<DEL>
v,<DEL>
ě,<DEL>
d,<DEL>
ě,<DEL>
l,<DEL>
.,<DEL>
 ,<DEL>
C,<DEL>
o,<DEL>
 ,<DEL>
m,<DEL>
á,<DEL>
t,<DEL>
e,<DEL>
",",<DEL>
 ,<DEL>
p,<DEL>
a,<DEL>
n,<DEL>
e,<DEL>
 ,<DEL>
k,<DEL>
o,<DEL>
l,<DEL>
e,<DEL>
g,<DEL>
o,<DEL>
?,<DEL>
 ,<DEL>
Č,<DEL>
e,<DEL>
š,<DEL>
t,<DEL>
i,<DEL>
n,<DEL>
u,<DEL>
.,<DEL>
 ,<DEL>
U,<DEL>
s,<DEL>
p,<DEL>
o,<DEL>
ř,<DEL>
á,<DEL>
d,<DEL>
a,<DEL>
l,<DEL>
i,<DEL>
 ,<DEL>
j,<DEL>
s,<DEL>
m,<DEL>
e,<DEL>
 ,<DEL>
s,<DEL>
i,<DEL>
 ,<DEL>
r,<DEL>
e,<DEL>
c,<DEL>
i,<DEL>
t,<DEL>
a,<DEL>
č,<DEL>
n,<DEL>
í,<DEL>
 ,<DEL>
h,<DEL>
o,<DEL>
d,<DEL>
i,<DEL>
n,<DEL>
k,<DEL>
u,<DEL>
.,<DEL>
 ,<DEL>
C,<DEL>
h,<DEL>
v,<DEL>
i,<DEL>
l,<DEL>
k,<DEL>
u,<DEL>
 ,<DEL>
s,<DEL>
i,<DEL>
 ,<DEL>
p,<DEL>
o,<DEL>
s,<DEL>
l,<DEL>
e,<DEL>
c,<DEL>
h,<DEL>
n,<DEL>
u,<DEL>
.,<DEL>
 ,<DEL>
M,<DEL>
ů,<DEL>
ž,<DEL>
e,<DEL>
t,<DEL>
e,<DEL>
 ,<DEL>
p,<DEL>
o,<DEL>
k,<DEL>
r,<DEL>
a,<DEL>
č,<DEL>
o,<DEL>
v,<DEL>
a,<DEL>
t,<DEL>
.,<DEL>
 ,<DEL>
P,<DEL>
a,<DEL>
v,<DEL>
e,<DEL>
l,<DEL>
 ,<DEL>
K,<DEL>
o,<DEL>
v,<DEL>
á,<DEL>
ř,<DEL>
 ,<DEL>
s,<DEL>
e,<DEL>
 ,<DEL>
p,<DEL>
o,<DEL>
n,<DEL>
ě,<DEL>
k,<DEL>
u,<DEL>
d,<DEL>
 ,<DEL>
z,<DEL>
a,<DEL>
r,<DEL>
a,<DEL>
ž,<DEL>
e,<DEL>
n,<DEL>
 ,<DEL>
p,<DEL>
o,<DEL>
d,<DEL>
í,<DEL>
v,<DEL>
a,<DEL>
l,<DEL>
 ,<DEL>
n,<DEL>
a,<DEL>
 ,<DEL>
u,<DEL>
č,<DEL>
i,<DEL>
t,<DEL>
e,<DEL>
l,<DEL>
e,<DEL>
",",<DEL>
 ,<DEL>
p,<DEL>
a,<DEL>
k,<DEL>
 ,<DEL>
n,<DEL>
a,<DEL>
 ,<DEL>
i,<DEL>
n,<DEL>
s,<DEL>
p,<DEL>
e,<DEL>
k,<DEL>
t,<DEL>
o,<DEL>
r,<DEL>
a,<DEL>
.,<DEL>
 ,<DEL>
B,<DEL>
y,<DEL>
l,<DEL>
o,<DEL>
“,<DEL>
t,t
h,h
a,a
t,t
 , 
r,<DEL>
e,<DEL>
p,<DEL>
o,<DEL>
r,<DEL>
t,<DEL>
s,<DEL>
 , 
m,m
a,a
y,y
 , 
v,v
a,a
r,r
y,y
 , 
g,<DEL>
r,r
e,e
a,<DEL>
t,<DEL>
l,<DEL>
y,<DEL>
 ,<DEL>
w,<DEL>
i,<DEL>
t,<DEL>
h,<DEL>
 ,<DEL>
r,<DEL>
e,<DEL>
s,s
p,p
e,e
c,c
t,t
 , 
t,t
o,o
 , 
m,m
e,e
;,;
 , 
a,a
n,n
d,d
 , 
I,<DEL>
 ,<DEL>
c,c
o,o
u,u
l,l
d,d
 , 
w,w
i,i
s,s
h,h
",",<DEL>
 , 
M,M
i,i
s,s
s,s
 , 
B,B
e,e
n,n
n,n
e,e
t,<DEL>
",",<DEL>
 , 
t,<DEL>
h,<DEL>
a,<DEL>
t,<DEL>
 ,<DEL>
y,<DEL>
o,<DEL>
u,<DEL>
 ,<DEL>
w,<DEL>
e,<DEL>
r,<DEL>
e,<DEL>
 ,<DEL>
n,<DEL>
o,<DEL>
t,<DEL>
 ,<DEL>
t,<DEL>
o,<DEL>
 ,<DEL>
s,<DEL>
k,<DEL>
e,<DEL>
t,<DEL>
c,c
h,h
 ,<DEL>
m,<DEL>
y,<DEL>
 ,<DEL>
c,<DEL>
h,<DEL>
a,a
r,r
a,a
c,c
t,t
e,e
r,r
 , 
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
r,r
e,e
s,s
e,e
n,n
t,<DEL>
 , 
m,m
o,o
m,m
e,e
n,n
t,t
",",","
 ,<DEL>
a,a
s,s
 , 
t,t
h,h
e,e
r,r
e,e
 , 
i,1
s,<DEL>
 ,<DEL>
r,<DEL>
e,e
a,a
s,s
o,0
n,1
 ,)
t,<DEL>
o,<DEL>
 , 
f,f
e,e
a,a
r,z
 , 
t,t
h,h
a,a
t,t
 , 
t,t
h,h
e,<DEL>
 , 
p,p
e,e
r,r
f,f
o,o
r,n
m,<DEL>
a,a
n,n
c,c
e,e
 , 
w,w
o,o
u,u
l,l
d,d
 , 
r,r
e,e
f,f
l,l
e,e
c,c
t,t
<INS>,.
 , 
n,p
o,o
 , 
c,c
r,r
e,e
d,d
i,i
t,<DEL>
 , 
o,o
n,n
 , 
e,e
i,i
t,<DEL>
h,h
e,e
r,r
<INS>, 
<INS>,F
<INS>,p
<INS>,o
<INS>,r
<INS>,ť
<INS>,s
<INS>, 
<INS>,P
<INS>,r
<INS>,e
<INS>,n
<INS>,i
<INS>,l
<INS>, 
<INS>,I
<INS>,t
<INS>,v
.,o
”,u
v,v
t,e
r,r
h,a
l,n
 ,<DEL>
d,d
o,o
 , 
t,c
r,r
e,e
s,s
t,e
n,n
i,a
c,c
e,e
 , 
n,n
 ,<DEL>
i,<DEL>
 ,<DEL>
v,<DEL>
 ,<DEL>
n,<DEL>
o,o
c,c
i,i
",",<DEL>
 , 
a,<DEL>
 ,<DEL>
z,z
p,p
o,o
z,z
o,o
r,r
o,O
v,V
 , 
l,1
i,i
",",","
 , 
ž,2
e,2
 , 
t,[
r,r
e,e
s,s
t,e
a,a
n,n
e,e
c,c
 , 
s,s
p,p
í,1
 , 
l,l
e,e
v,v
é,e
m,n
 , 
b,D
o,o
k,k
u,u
<INS>, 
",",","
 , 
n,<DEL>
e,e
b,b
o,o
 , 
n,n
a,e
z,z
 , 
d,d
a,a
l,l
 ,<DEL>
h,h
o,o
 , 
r,Z
á,a
n,n
o,o
 , 
p,P
o,o
t,l
r,r
e,e
s,s
t,e
a,e
 , 
A,A
ť,l
",",","
 , 
p,p
r,r
ý,y
",",","
 , 
s,s
p,p
í,i
 , 
n,n
a,a
 , 
p,p
r,r
a,a
v,v
 , 
b,D
o,o
k,k
u,u
",",<DEL>
 , 
j,J
a,a
k,k
 , 
p,P
ř,r
i,i
k,k
á,e
z,z
a,a
l,l
.,<DEL>
 , 
 ,E
t,<DEL>
r,r
e,e
s,s
t,t
n,n
i,i
c,c
i,i
 , 
h,h
o,o
 , 
n,n
e,e
n,n
á,a
v,v
i,i
d,d
 , 
b,p
á,a
l,l
i,f
 , 
s,S
e,0
 , 
h,h
o,o
<INS>, 
",",","
 , 
j,j
a,a
k,k
o,o
 , 
m,I
o,c
r,:
 , 
O,O
b,b
l,1
i,i
č,<DEL>
e,<DEL>
j,<DEL>
 , 
m,u
ě,e
l,1
 , 
r,r
u,u
d,d
ý,y
",",","
<INS>, 
<INS>,é
<INS>,e
<INS>,)
n,n
e,c
v,t
y,y
d,d
r,z
ž,c
e,h
l,<DEL>
i,<DEL>
.,<DEL>
 , 
T,T
a,a
k,k
ý,y
m,m
 , 
z,z
p,p
ů,u
s,s
o,o
b,b
e,e
m,m
 , 
p,p
ř,h
i,<DEL>
n,n
á,i
š,l
e,c
l,h
i,<DEL>
 , 
t,t
a,a
b,b
á,i
k,k
",",<DEL>
 , 
c,c
i,i
h,h
l,l
o,o
v,v
ý,ý
 , 
č,€
a,a
j,j
",",.
 , 
m,n
a,1
s,s
o,0
",",<DEL>
 , 
p,p
r,I
e,c
c,c
l,l
í,<DEL>
k,<DEL>
y,y
 , 
a,J
 ,u
j,c
i,<DEL>
n,<DEL>
é,<DEL>
 , 
a,V
 ,<DEL>
j,<DEL>
i,<DEL>
n,<DEL>
é,<DEL>
",",<DEL>
 ,<DEL>
v,<DEL>
y,<DEL>
j,<DEL>
m,m
a,a
 ,q
s,<DEL>
n,<DEL>
a,<DEL>
d,d
 , 
j,J
e,c
n,n
 , 
v,r
o,o
d,d
k,h
u,u
.,<DEL>
 , 
V,V
o,o
d,d
k,k
y,y
 ,<DEL>
n,n
a,<DEL>
 , 
n,n
i,i
c,c
h,h
 , 
n,n
e,c
ž,z
á,i
d,d
a,<DEL>
l,l
i,<DEL>
",",<DEL>
 , 
a,a
č,e
 , 
j,J
e,c
 , 
č,<DEL>
a,a
s,s
<INS>,c
e,u
m,n
 , 
v,v
o,o
d,d
k,k
o,o
u,u
 , 
u,u
c,c
t,t
í,i
v,<DEL>
a,a
l,l
i,<DEL>
 , 
O,O
s,u
i,<DEL>
p,p
 , 
m,m
n,n
ě,é
 , 
u,u
p,p
r,t
a,a
v,r
o,o
v,t
a,a
l,l
 ,<DEL>
p,p
o,o
 , 
n,n
ě,c
k,k
o,o
l,l
i,<DEL>
k,k
 , 
l,l
e,e
t,t
 , 
s,s
t,a
á,<DEL>
l,l
e,e
 , 
j,J
e,e
d,d
n,n
o,o
 , 
<INS>,l
<INS>,o
<INS>,l
<INS>,c
a,z
 , 
t,J
o,i
t,n
é,e
ž,<DEL>
",",","
n,n
e,e
z,z
a,a
p,p
o,o
m,m
í,í
n,n
a,a
l,l
 , 
a,a
n,n
i,i
 , 
n,n
y,y
n,n
í,í
.,.
 , 
P,P
ř,ř
i,i
b,b
ě,ě
h,h
n,n
e,e
",",;
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
u,u
 , 
m,m
é,é
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
y,y
",",;
 , 
k,k
r,r
á,á
č,č
í,í
 , 
m,m
l,I
 , 
v,v
e,e
d,d
l,l
e,e
 , 
m,m
n,n
e,e
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
s,s
 , 
s,s
á,á
m,m
 , 
u,u
 , 
s,s
e,e
b,b
e,e
 , 
n,n
ě,ě
č,č
e,e
m,m
u,u
 , 
d,d
 , 
V,V
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
á,á
c,c
h,h
 , 
j,j
s,s
e,e
m,m
 , 
s,s
 , 
l,l
o,o
u,u
č,č
i,i
l,l
 , 
s,s
 , 
t,t
ě,ě
m,m
i,i
 , 
z,z
č,č
e,e
r,r
n,n
a,a
l,l
ý,ý
 , 
b,b
ř,ř
e,e
v,v
n,n
o,o
v,v
ý,ý
m,m
i,i
 , 
s,s
r,r
u,u
b,b
y,y
 , 
n,n
a,a
š,š
r,<DEL>
o,<DEL>
z,<DEL>
d,<DEL>
ě,<DEL>
l,<DEL>
e,<DEL>
n,<DEL>
á,<DEL>
 ,<DEL>
p,<DEL>
r,<DEL>
o,<DEL>
 ,<DEL>
d,<DEL>
v,<DEL>
ě,<DEL>
 ,<DEL>
s,<DEL>
k,<DEL>
u,<DEL>
p,<DEL>
i,<DEL>
n,<DEL>
y,<DEL>
.,<DEL>
 ,<DEL>
D,<DEL>
á,<DEL>
l,<DEL>
e,<DEL>
 ,<DEL>
j,<DEL>
e,<DEL>
š,<DEL>
t,<DEL>
ě,<DEL>
 ,<DEL>
j,<DEL>
e,<DEL>
d,<DEL>
n,<DEL>
o,<DEL>
 ,<DEL>
s,<DEL>
t,<DEL>
a,<DEL>
v,<DEL>
e,<DEL>
n,<DEL>
í,<DEL>
",",<DEL>
 ,<DEL>
k,<DEL>
d,<DEL>
e,<DEL>
 ,<DEL>
j,<DEL>
s,<DEL>
o,<DEL>
u,<DEL>
 ,<DEL>
p,<DEL>
o,<DEL>
d,<DEL>
 ,<DEL>
s,<DEL>
p,<DEL>
o,<DEL>
l,<DEL>
e,<DEL>
č,<DEL>
n,<DEL>
o,<DEL>
u,<DEL>
 ,<DEL>
s,<DEL>
t,<DEL>
ř,<DEL>
e,<DEL>
c,<DEL>
h,<DEL>
o,<DEL>
u,<DEL>
 ,<DEL>
u,<DEL>
m,<DEL>
í,<DEL>
s,<DEL>
t,<DEL>
ě,<DEL>
n,<DEL>
y,<DEL>
 ,<DEL>
s,<DEL>
k,<DEL>
l,<DEL>
e,<DEL>
p,<DEL>
y,<DEL>
",",<DEL>
 ,<DEL>
s,<DEL>
ý,<DEL>
p,<DEL>
k,<DEL>
y,<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
k,<DEL>
ů,<DEL>
l,<DEL>
n,<DEL>
y,<DEL>
.,<DEL>
 ,<DEL>
P,<DEL>
r,<DEL>
o,<DEL>
s,<DEL>
t,<DEL>
ř,<DEL>
e,<DEL>
d,<DEL>
e,<DEL>
k,<DEL>
 ,<DEL>
d,<DEL>
v,<DEL>
o,<DEL>
r,<DEL>
a,<DEL>
 ,<DEL>
j,<DEL>
e,<DEL>
 ,<DEL>
p,<DEL>
r,<DEL>
á,<DEL>
z,<DEL>
d,<DEL>
n,<DEL>
ý,<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
t,<DEL>
v,<DEL>
o,<DEL>
ř,<DEL>
í,<DEL>
 ,<DEL>
r,<DEL>
o,<DEL>
v,<DEL>
n,<DEL>
é,<DEL>
",",<DEL>
 ,<DEL>
d,<DEL>
o,<DEL>
s,<DEL>
t,<DEL>
i,<DEL>
 ,<DEL>
r,<DEL>
o,<DEL>
z,<DEL>
s,<DEL>
á,<DEL>
h,<DEL>
l,<DEL>
é,<DEL>
 ,<DEL>
p,<DEL>
r,<DEL>
o,<DEL>
s,<DEL>
t,<DEL>
r,<DEL>
a,<DEL>
n,<DEL>
s,<DEL>
t,<DEL>
v,<DEL>
í,<DEL>
.,<DEL>
 ,<DEL>
Z,<DEL>
d,<DEL>
e,<DEL>
 ,<DEL>
s,<DEL>
e,<DEL>
 ,<DEL>
t,<DEL>
r,<DEL>
e,<DEL>
s,<DEL>
t,<DEL>
a,<DEL>
n,<DEL>
c,<DEL>
i,<DEL>
 ,<DEL>
s,<DEL>
t,<DEL>
a,<DEL>
v,<DEL>
í,<DEL>
 ,<DEL>
d,<DEL>
o,<DEL>
 ,<DEL>
ř,<DEL>
a,<DEL>
d,<DEL>
",",<DEL>
m,<DEL>
a,<DEL>
k,<DEL>
i,<DEL>
n,<DEL>
g,g
 ,<DEL>
g,<DEL>
e,e
n,n
t,t
l,l
e,e
m,m
a,a
n,n
",",;
”,<DEL>
 , 
s,s
a,a
i,i
d,d
 , 
M,M
r,r
.,.
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",","
 , 
a,a
s,s
 , 
h,h
e,e
 , 
f,f
o,o
l,l
d,d
e,e
d,d
 , 
u,u
p,p
 , 
t,t
h,h
e,e
 , 
l,l
e,e
t,t
t,t
e,e
r,r
.,.
 , 
“,""""
H,H
e,e
 , 
s,s
e,e
e,e
m,m
s,s
 , 
t,t
o,o
 , 
b,b
e,e
 , 
a,<DEL>
 ,<DEL>
m,m
o,o
s,s
t,t
 , 
c,c
o,o
n,n
s,s
c,c
i,i
e,e
n,n
t,t
i,i
o,o
u,u
s,s
 , 
a,a
n,n
d,d
 , 
p,<DEL>
o,<DEL>
l,<DEL>
i,<DEL>
t,<DEL>
e,<DEL>
 ,<DEL>
y,y
o,o
u,u
n,n
g,g
 , 
m,m
a,a
n,<DEL>
",",","
 , 
u,u
p,p
o,o
n,n
 , 
m,m
y,y
 , 
w,w
o,o
r,r
d,d
;,;
 , 
a,a
n,n
d,d
",",;
 , 
I,<DEL>
 ,<DEL>
d,d
o,o
u,u
b,b
t,t
 , 
n,n
o,o
t,t
",",","
 , 
w,w
i,i
l,l
l,l
 , 
p,p
r,r
o,o
v,v
e,e
 , 
a,<DEL>
 ,<DEL>
v,v
a,a
l,l
u,u
a,a
b,b
l,l
e,e
 , 
a,a
c,c
q,q
u,u
a,a
i,i
n,n
t,t
a,a
n,n
c,c
e,e
",",;
 , 
e,e
s,s
p,p
e,e
c,c
i,i
a,a
l,l
l,l
y,y
 , 
i,i
f,f
 , 
L,L
a,a
d,d
y,y
 , 
C,C
a,a
t,t
h,h
e,e
r,r
i,i
n,n
e,e
 , 
s,s
h,h
o,o
u,u
l,l
d,d
<INS>, 
<INS>,m
<INS>,a
<INS>,k
<INS>,i
<INS>,n
<INS>,g
<INS>, 
<INS>,p
<INS>,o
<INS>,l
<INS>,i
<INS>,t
<INS>,e
t,c
e,a
b,n
e,o
 , 
s,3
t,{
r,0
e,9
j,6
č,<DEL>
e,e
k,r
., 
"""",<DEL>
 , 
„,*
E, 
h,5
",",","
 , 
 ,8
t,0
ě,7
 ,6
č,0
e,3
r,8
t, 
 ,0
i,0
 , 
s,B
e,e
<INS>,3
 ,c
s,a
t,c
r,r
e,o
j,<DEL>
č,<DEL>
k,<DEL>
e,<DEL>
 , 
n,6
e,0
s,8
t,8
o,0
j,2
í,<DEL>
 , 
z,8
a,8
 , 
t,8
o,0
",",<DEL>
 , 
s,{
 ,6
t,<DEL>
e,<DEL>
b,b
o,o
 , 
m,8
l,a
u,e
v,<DEL>
i,<DEL>
t,<DEL>
!,<DEL>
 , 
A,7
 ,4
v,8
i,<DEL>
d,<DEL>
í,<DEL>
š,<DEL>
",",","
 , 
t,E
a,a
k,z
o,o
 , 
h,2
e,o
z,8
k,1
é,6
 , 
s,1
l,<DEL>
o,o
v,r
í,i
č,e
k,r
o,e
 , 
j,0
s,9
e,3
m,<DEL>
 , 
t,€
 ,8
c,2
h,8
t,1
ě,<DEL>
l,<DEL>
 , 
p,D
o,o
v,7
ě,8
d,d
i,i
t,e
.,","
 , 
T,2
a,a
k,l
 , 
v,Y
i,a
 , 
t,E
e,c
d,a
y,i
",",<DEL>
 , 
b,D
r,2
a,e
š,8
i,<DEL>
",",<DEL>
 ,<DEL>
j,<DEL>
a,a
k,<DEL>
 , 
s,5
e,<DEL>
 , 
t,a
 , 
p,P
ř,8
i,a
h,2
o,o
d,a
i,a
l, 
o,0
",",","
 , 
ž,J
e,6
 ,3
j,<DEL>
s,<DEL>
e,<DEL>
m,<DEL>
 , 
s,8
e,0
 , 
k,<DEL>
r,r
á,3
t,a
c,r
e,e
<INS>,o
 , 
z,6
d,4
r,3
ž,8
e,0
l,1
 , 
v,o
 ,<DEL>
M,<DEL>
o,o
s,n
k,y
v,<DEL>
 , 
D,0
a,6
l,<DEL>
i,<DEL>
 , 
m,(
n,e
ě,<DEL>
 , 
n,0
a,e
p,p
o,o
s,a
l,i
e,e
d,a
 , 
p,8
a,6
t,6
“,C
T,<DEL>
h,<DEL>
a,a
n,<DEL>
k,<DEL>
 ,<DEL>
y,<DEL>
o,o
u,u
",",<DEL>
”,<DEL>
 , 
s,<DEL>
a,<DEL>
i,i
d,<DEL>
 , 
L,o
y,e
d,<DEL>
i,<DEL>
a,a
;,<DEL>
 , 
“,V
f, 
o,(
r,r
 ,a
i,n
f,<DEL>
 , 
y,a
o,<DEL>
u,<DEL>
 , 
d,a
i,<DEL>
d,<DEL>
",",<DEL>
 ,<DEL>
I,<DEL>
 ,<DEL>
s,<DEL>
h,<DEL>
o,<DEL>
u,u
l,<DEL>
d,<DEL>
 ,<DEL>
c,<DEL>
e,<DEL>
r,<DEL>
t,<DEL>
a,a
i,<DEL>
n,n
l,<DEL>
y,<DEL>
 , 
t,3
e,0
l,9
l,6
 , 
y,<DEL>
o,o
u,<DEL>
 ,<DEL>
a,<DEL>
l,<DEL>
l,<DEL>
",",<DEL>
 ,<DEL>
a,<DEL>
n,n
d,f
 ,o
t,<DEL>
h,<DEL>
e,<DEL>
n,n
 , 
W,<DEL>
i,<DEL>
c,<DEL>
k,<DEL>
h,<DEL>
a,a
m,n
 ,r
w,o
o,o
u,<DEL>
l,<DEL>
d,<DEL>
 ,<DEL>
b,<DEL>
e,<DEL>
 ,<DEL>
s,<DEL>
o,o
 ,<DEL>
a,<DEL>
n,<DEL>
g,<DEL>
r,r
y,o
.,<DEL>
”,<DEL>
 ,<DEL>
O,<DEL>
n,n
 , 
s,{
u,a
c,o
h,o
 ,n
e,e
n,n
c,l
o,o
<INS>,o
u,u
r,<DEL>
a,a
g,l
e,<DEL>
m,<DEL>
e,<DEL>
n,<DEL>
t,<DEL>
 ,<DEL>
t,<DEL>
o,o
 , 
a,D
s,m
k,<DEL>
",",<DEL>
 ,<DEL>
E,<DEL>
l,<DEL>
i,<DEL>
z,<DEL>
a,a
b,<DEL>
e,<DEL>
t,<DEL>
h,h
 ,o
w,<DEL>
a,<DEL>
s,<DEL>
 ,<DEL>
f,<DEL>
o,o
r,v
c,<DEL>
e,e
d,<DEL>
 ,<DEL>
t,<DEL>
o,o
 , 
p,O
u,u
t,<DEL>
 ,<DEL>
i,<DEL>
t,<DEL>
 ,<DEL>
o,<DEL>
u,u
t,g
 ,g
o,<DEL>
f,<DEL>
 ,<DEL>
h,<DEL>
e,e
r,<DEL>
 ,<DEL>
p,<DEL>
o,o
w,<DEL>
e,<DEL>
r,r
",",<DEL>
 ,<DEL>
b,<DEL>
y,<DEL>
 ,<DEL>
r,<DEL>
u,<DEL>
n,<DEL>
n,<DEL>
i,<DEL>
n,<DEL>
g,<DEL>
 ,<DEL>
a,a
w,d
a,<DEL>
y,<DEL>
.,<DEL>
 , 
B,D
u,<DEL>
t,<DEL>
 ,<DEL>
t,<DEL>
o,o
 ,<DEL>
l,<DEL>
i,<DEL>
v,<DEL>
e,<DEL>
 ,<DEL>
i,<DEL>
n,n
 ,o
i,<DEL>
g,<DEL>
n,<DEL>
o,o
r,<DEL>
a,a
n,n
c,a
e,<DEL>
 ,<DEL>
o,o
n,<DEL>
 ,<DEL>
s,<DEL>
u,u
c,a
h,<DEL>
k,<DEL>
r,<DEL>
á,<DEL>
č,<DEL>
í,<DEL>
m,<DEL>
e,<DEL>
!,<DEL>
 ,<DEL>
L,<DEL>
i,<DEL>
d,<DEL>
é,<DEL>
 ,<DEL>
s,<DEL>
e,<DEL>
 ,<DEL>
d,<DEL>
í,<DEL>
v,<DEL>
a,<DEL>
j,<DEL>
í,<DEL>
 ,<DEL>
n,<DEL>
a,<DEL>
 ,<DEL>
n,<DEL>
á,<DEL>
s,<DEL>
 ,<DEL>
s,<DEL>
e,<DEL>
 ,<DEL>
z,<DEL>
á,<DEL>
l,<DEL>
i,<DEL>
b,<DEL>
o,<DEL>
u,<DEL>
;,<DEL>
 ,<DEL>
j,<DEL>
á,<DEL>
 ,<DEL>
b,<DEL>
y,<DEL>
l,<DEL>
 ,<DEL>
c,<DEL>
h,<DEL>
l,<DEL>
a,<DEL>
p,<DEL>
í,<DEL>
k,<DEL>
",",<DEL>
 ,<DEL>
a,<DEL>
 ,<DEL>
A,<DEL>
k,<DEL>
u,<DEL>
l,<DEL>
i,<DEL>
n,<DEL>
